dong,latitude,longitude,school_count,subway_count
청운효자동,37.58465806,126.9704175,7,0
사직동,37.57410805,126.9701437,12,3
삼청동,37.58801344,126.9811137,7,0
부암동,37.59669866,126.9625567,2,0
평창동,37.61396501,126.969274,1,0
무악동,37.57774075,126.9589891,8,2
교남동,37.57105298,126.964161,16,3
가회동,37.58267644,126.9866182,8,1
종로1.2.3.4가동,37.57507655,126.9897333,8,6
종로5.6가동,37.573016,127.004241,4,8
이화동,37.57969001,127.0030693,8,2
혜화동,37.58747148,126.9976891,12,2
창신제1동,37.57226265,127.0140191,8,9
창신제2동,37.57575481,127.0102517,9,6
창신제3동,37.57881917,127.0132088,11,6
숭인제1동,37.57722518,127.0168612,10,8
숭인제2동,37.57430675,127.0206376,10,8
소공동,37.56429679,126.9743586,7,7
회현동,37.55696816,126.9767086,5,5
명동,37.56372809,126.9843554,4,9
필동,37.55680279,126.9938483,5,3
장충동,37.55560998,127.0022798,5,6
광희동,37.56520434,127.0036254,7,11
을지로동,37.56664043,126.9964914,3,13
신당동,37.56574752,127.0137748,10,11
다산동,37.55470266,127.0082631,11,7
약수동,37.54983728,127.0102398,12,4
청구동,37.55685546,127.0149896,12,7
신당제5동,37.56358116,127.0220162,18,6
동화동,37.56059413,127.018671,17,7
황학동,37.56841911,127.020798,10,8
중림동,37.55731796,126.9659614,14,7
후암동,37.54993772,126.9805887,7,3
용산2가동,37.54023873,126.9835321,7,2
남영동,37.54510712,126.9735057,11,3
청파동,37.54785722,126.9671666,14,3
원효로제1동,37.53747049,126.9665602,8,5
원효로제2동,37.53310438,126.9513933,4,1
효창동,37.54305122,126.9613089,11,4
용문동,37.5381469,126.9585843,9,3
한강로동,37.52918454,126.9678552,4,4
이촌제1동,37.5172771,126.9709594,4,1
이촌제2동,37.52333115,126.9539394,0,0
이태원제1동,37.53339456,126.9932493,2,2
이태원제2동,37.54166032,126.9921342,6,3
한남동,37.53710166,127.005801,2,1
서빙고동,37.52246962,126.9883765,2,0
보광동,37.52587096,127.0012626,4,0
왕십리제2동,37.56149776,127.0276904,12,5
왕십리도선동,37.56679117,127.0295695,6,5
마장동,37.56763673,127.0404901,9,4
사근동,37.558015,127.0454347,8,4
행당제1동,37.55901978,127.0360566,11,6
행당제2동,37.55667576,127.0295034,10,5
응봉동,37.5509888,127.0339822,10,1
금호1가동,37.55366878,127.0250557,13,2
금호2.3가동,37.55142836,127.0198922,9,4
금호4가동,37.54459485,127.0246,4,2
옥수동,37.54196706,127.0161757,7,2
성수1가제1동,37.54042032,127.0410443,7,1
성수1가제2동,37.54907374,127.0439521,9,2
성수2가제1동,37.5366552,127.0552814,6,1
성수2가제3동,37.54554228,127.0581429,7,2
송정동,37.55233315,127.065698,4,1
용답동,37.55854018,127.0578488,3,2
화양동,37.54326499,127.0734599,10,3
군자동,37.55306569,127.0736809,3,3
중곡제1동,37.5620373,127.0777222,5,3
중곡제2동,37.55890871,127.084587,10,4
중곡제3동,37.56785113,127.0819697,12,2
중곡제4동,37.56391182,127.0944481,6,1
능동,37.55065718,127.0816453,9,4
광장동,37.54828309,127.1048726,8,1
자양제1동,37.53554348,127.0804154,18,1
자양제2동,37.52933469,127.0832539,8,1
자양제3동,37.5316904,127.0711983,8,2
자양제4동,37.53389181,127.0637659,7,2
구의제1동,37.5414904,127.0860324,10,1
구의제2동,37.55100224,127.0944503,8,1
구의제3동,37.53509206,127.0952359,8,2
용신동,37.57561621,127.0322863,9,4
제기동,37.58367676,127.0372424,5,4
전농제1동,37.57901159,127.051048,11,1
전농제2동,37.58072119,127.0611441,15,0
답십리제1동,37.5709437,127.0516992,8,2
답십리제2동,37.57089199,127.0611138,7,1
