dong,sigungu_name,latitude,longitude,school_count,subway_count,avg_price,school_score,subway_score,price_score
고덕제1동,강동구,37.56334718,127.1503072,8,1,0,36.36,8.33,0.0
고덕제2동,강동구,37.56586515,127.1616393,5,0,0,22.73,0.0,0.0
암사제1동,강동구,37.551855,127.1345856,13,2,0,59.09,16.67,0.0
암사제2동,강동구,37.55738056,127.1232422,3,1,0,13.64,8.33,0.0
암사제3동,강동구,37.56150499,127.1385091,6,0,0,27.27,0.0,0.0
천호제1동,강동구,37.54631851,127.1385817,9,3,0,40.91,25.0,0.0
천호제2동,강동구,37.54469098,127.1222751,4,3,0,18.18,25.0,0.0
천호제3동,강동구,37.53965387,127.1331959,7,4,0,31.82,33.33,0.0
성내제1동,강동구,37.52876408,127.1255189,10,3,0,45.45,25.0,0.0
성내제2동,강동구,37.53436452,127.1277368,7,4,0,31.82,33.33,0.0
성내제3동,강동구,37.52840356,127.1337967,12,2,0,54.55,16.67,0.0
길동,강동구,37.53972505,127.1459068,7,2,81933,31.82,16.67,73.31
둔촌제1동,강동구,37.52314517,127.1404347,15,3,0,68.18,25.0,0.0
둔촌제2동,강동구,37.53151448,127.1474138,6,2,0,27.27,16.67,0.0
