NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 영등포구 신길동,261-22,261,22,신길레전드힐스,13.74,202306,30,"10,150",레전드힐스,14,-,-,2013,가마산로 468,-,중개거래,서울 영등포구,23.08.07
2,서울특별시 강북구 미아동,812,812,0,삼성래미안트리베라2단지,59.33,202306,30,"69,800",209,9,-,-,2010,삼양로27길 19,-,중개거래,서울 강북구 서울 노원구,23.09.08
3,서울특별시 강북구 미아동,812,812,0,삼성래미안트리베라2단지,59.33,202306,30,"69,800",-,9,-,-,2010,삼양로27길 19,20230720,중개거래,서울 강북구 서울 노원구,-
4,서울특별시 강북구 미아동,812,812,0,삼성래미안트리베라2단지,58.99,202306,30,"68,500",207,3,-,-,2010,삼양로27길 19,-,중개거래,서울 강북구,23.09.25
5,서울특별시 서대문구 대현동,144,144,0,신촌럭키,59.7,202306,30,"75,000",108,11,-,-,1999,이화여대길 50-12,-,중개거래,서울 서대문구,23.08.31
6,서울특별시 송파구 가락동,140,140,0,가락(1차)쌍용아파트,59.92,202306,30,"105,000",501,12,-,-,1997,동남로 193,-,중개거래,서울 송파구,23.09.15
7,서울특별시 송파구 잠실동,22,22,0,리센츠,27.68,202306,30,"99,500",243,25,-,-,2008,올림픽로 135,-,중개거래,서울 송파구,23.10.20
8,서울특별시 마포구 대흥동,12-41,12,41,서희스타힐스,12.85,202306,30,"17,000",-,4,-,-,2014,신촌로 160,-,중개거래,서울 마포구,23.07.20
9,서울특별시 성동구 옥수동,250,250,0,옥수삼성,59.7,202306,30,"119,000",106,8,-,-,1999,독서당로 218,-,중개거래,서울 성동구,23.08.24
10,서울특별시 노원구 상계동,691,691,0,상계주공7(고층),45.9,202306,30,"49,000",713,11,-,-,1988,동일로 1456,-,중개거래,서울 노원구,23.07.06
11,서울특별시 성북구 정릉동,1031,1031,0,정릉힐스테이트3차,59.98,202306,30,"67,500",303,4,-,-,2008,보국문로 116,-,중개거래,서울 성북구,23.09.15
12,서울특별시 강남구 도곡동,967,967,0,경남,59.76,202306,30,"153,000",103,17,-,-,2005,논현로 209,-,중개거래,서울 강남구,23.10.13
13,서울특별시 노원구 상계동,691,691,0,상계주공7(고층),45.77,202306,30,"50,000",720,9,-,-,1988,상계로1길 92,-,직거래,-,23.07.31
14,서울특별시 강동구 길동,365-1,365,1,라인,59.94,202306,30,"59,800",-,10,-,-,1998,천중로50길 48-12,-,중개거래,서울 강동구,23.09.27
15,서울특별시 영등포구 양평동3가,106,106,0,양평역미소지움,59.343,202306,30,"76,884",101동,14,-,-,2018,양산로 11,-,직거래,-,23.07.26
16,서울특별시 마포구 성산동,446,446,0,성산시영(유원),59.43,202306,30,"110,000",12,10,-,-,1986,월드컵북로 235,-,중개거래,서울 마포구,23.08.29
17,서울특별시 강동구 성내동,295,295,0,성안마을청구,59.93,202306,30,"80,000",101,13,-,-,2002,풍성로 114-1,-,중개거래,서울 강동구,23.11.17
18,서울특별시 양천구 신정동,325,325,0,목동신시가지11,51.48,202306,30,"96,700",1119,1,-,-,1988,목동동로 10,-,중개거래,서울 양천구,23.08.03
19,서울특별시 서대문구 북가좌동,481,481,0,DMC래미안e편한세상,59.97,202306,30,"100,000",106,12,-,-,2012,수색로 100,-,중개거래,서울 서대문구,23.10.31
20,서울특별시 영등포구 양평동3가,106,106,0,양평역미소지움,59.469,202306,30,"71,907",101동,13,-,-,2018,양산로 11,-,직거래,-,23.07.28
21,서울특별시 동대문구 휘경동,106,106,0,휘경미소지움,59.84,202306,30,"55,500",101,11,-,-,1999,망우로 105,-,중개거래,서울 동대문구 서울 송파구,23.07.05
22,서울특별시 영등포구 양평동3가,106,106,0,양평역미소지움,37.8,202306,30,"48,819",-,8,-,-,2018,양산로 11,20230728,직거래,-,-
23,서울특별시 양천구 신정동,1296,1296,0,아이파크,59.82,202306,30,"109,000",104,11,-,-,2002,목동동로 180,-,중개거래,서울 양천구,23.10.13
24,서울특별시 영등포구 양평동3가,106,106,0,양평역미소지움,59.166,202306,30,"71,541",101동,2,-,-,2018,양산로 11,-,직거래,-,23.07.26
25,서울특별시 동대문구 장안동,415-10,415,10,글로벌팰리스,22.59,202306,30,"28,000",102동,14,-,-,2019,천호대로 385,-,중개거래,서울 동대문구,23.11.03
26,서울특별시 중랑구 중화동,450,450,0,한신아파트상가동유치원동(103~109),59.76,202306,30,"63,500",105,23,-,-,1998,동일로 752,-,중개거래,서울 중랑구,23.08.18
27,서울특별시 노원구 공릉동,81,81,0,태강아파트(아이파크),49.6,202306,30,"49,700",1017,6,-,-,1999,공릉로34길 62,-,중개거래,서울 중랑구,23.08.18
28,서울특별시 성북구 돈암동,636,636,0,이수브라운스톤돈암,59.99,202306,30,"74,000",114,4,-,-,2004,북악산로 844,-,중개거래,서울 성북구,23.08.30
29,서울특별시 강서구 등촌동,707,707,0,"등촌7,8단지주공아파트",41.85,202306,30,"51,500",801,4,-,-,1994,공항대로43길 104,-,중개거래,서울 강서구,23.08.11
30,서울특별시 동대문구 답십리동,1003,1003,0,래미안위브,59.97,202306,30,"97,000",105동,5,-,-,2014,답십리로 130,-,중개거래,서울 동대문구,23.07.28
31,서울특별시 중랑구 면목동,1545,1545,0,사가정센트럴아이파크,59.92,202306,30,"95,000",108,10,-,-,2020,동일로92길 40,-,중개거래,서울 중랑구,23.09.08
32,서울특별시 용산구 이촌동,404,404,0,한가람,59.88,202306,30,"159,500",214,11,-,-,1998,이촌로65가길 51,-,중개거래,서울 용산구,23.09.19
33,서울특별시 금천구 독산동,1007-13,1007,13,e편한세상독산더타워,59.8637,202306,30,"70,000",101,10,-,-,2019,범안로 1212,-,중개거래,서울 금천구,23.07.31
34,서울특별시 강서구 화곡동,1173,1173,0,우장산숲아이파크,59.9983,202306,30,"90,000",106,5,-,-,2022,화곡로31다길 20,-,중개거래,서울 강서구,24.01.25
35,서울특별시 강남구 개포동,1282,1282,0,개포래미안포레스트,49.92,202306,30,"161,000",111,14,-,-,2020,개포로 264,-,중개거래,서울 강남구,23.09.15
36,서울특별시 영등포구 양평동4가,94,94,0,삼호한숲,59.9,202306,30,"81,000",102,7,-,-,2000,선유로47길 34,-,중개거래,서울 영등포구,23.08.18
37,서울특별시 강서구 가양동,1461,1461,0,가양2단지(성지),49.56,202306,30,"48,000",203,7,-,-,1992,허준로 47,-,직거래,-,23.07.26
38,서울특별시 강서구 마곡동,429,429,0,벽산,59.98,202306,30,"58,500",-,1,-,-,1999,양천로47길 118,20230728,중개거래,"경기 부천시 오정구, 서울 강서구",-
39,서울특별시 강서구 마곡동,429,429,0,벽산,59.98,202306,30,"58,500",108,1,-,-,1999,양천로47길 118,-,중개거래,"경기 부천시 오정구, 서울 강서구",23.10.30
40,서울특별시 도봉구 창동,715-25,715,25,새울(715-25),38.94,202306,30,"32,000",-,6,-,-,2014,해등로 121,-,직거래,-,23.07.28
41,서울특별시 동작구 사당동,105,105,0,극동(105),51.57,202306,30,"85,000",112,13,-,-,1993,동작대로29길 119,-,중개거래,서울 동작구,23.10.13
42,서울특별시 노원구 상계동,691,691,0,상계주공7(고층),45.77,202306,30,"50,000",-,9,-,-,1988,상계로1길 92,20230707,직거래,-,-
43,서울특별시 영등포구 양평동4가,51-1,51,1,경남아너스빌,59.84,202306,30,"70,000",101,9,-,-,2000,양평로17길 9,-,중개거래,서울 영등포구,23.08.30
44,서울특별시 구로구 신도림동,642,642,0,대림1,59.88,202306,30,"80,000",505,27,-,-,1999,신도림로 16,-,중개거래,서울 구로구 서울 양천구,23.10.06
45,서울특별시 노원구 상계동,749-5,749,5,상계주공4(고층),49.94,202306,30,"50,500",408,6,-,-,1988,동일로214길 21,-,중개거래,서울 노원구,23.09.27
46,서울특별시 마포구 대흥동,12-41,12,41,서희스타힐스,12.85,202306,30,"17,800",-,18,-,-,2014,신촌로 160,-,중개거래,서울 서대문구 서울 성동구,23.08.16
47,서울특별시 금천구 가산동,769,769,0,두산,59.84,202306,30,"63,500",113,19,-,-,1998,가산로 99,-,중개거래,서울 금천구,23.08.02
48,서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,59.98,202306,30,"59,500",120,16,-,-,2004,솔샘로 174,-,중개거래,서울 강북구,23.09.14
49,서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,59.98,202306,30,"52,500",142,9,-,-,2004,솔샘로 174,-,중개거래,서울 강북구,23.08.18
50,서울특별시 중구 신당동,842,842,0,약수하이츠,57.63,202306,29,"77,000",116,4,-,-,1999,동호로10길 30,-,중개거래,서울 성동구 서울 중구,23.09.14
51,서울특별시 마포구 아현동,777,777,0,마포래미안푸르지오4단지,59.9656,202306,29,"135,000",407,7,-,-,2014,마포대로 195,-,중개거래,서울 마포구,23.09.08
52,서울특별시 강남구 대치동,974,974,0,대치현대,59.82,202306,29,"163,500",105,22,-,-,1999,삼성로64길 5,-,중개거래,서울 강남구 인천 연수구,23.09.11
53,서울특별시 강동구 천호동,22-11,22,11,고려아파트(C동),46.61,202306,29,"34,300",C,6,-,-,2001,상암로41길 89,-,중개거래,서울 강동구,23.09.07
54,서울특별시 강남구 역삼동,757,757,0,역삼래미안,59.4,202306,29,"187,000",101,20,-,-,2005,선릉로69길 19,-,중개거래,서울 강남구,23.10.18
55,서울특별시 노원구 상계동,749-5,749,5,상계주공4(고층),49.94,202306,29,"50,800",417,8,-,-,1988,동일로214길 21,-,중개거래,서울 노원구,23.09.18
56,서울특별시 구로구 신도림동,642,642,0,대림1,59.9,202306,29,"86,000",407,26,-,-,1999,신도림로 16,-,중개거래,서울 구로구,23.08.14
57,서울특별시 노원구 공릉동,81,81,0,태강아파트(아이파크),59.38,202306,29,"57,000",1015,15,-,-,1999,공릉로34길 62,-,중개거래,서울 노원구,23.10.16
58,서울특별시 강북구 미아동,160-3,160,3,푸르지오시티,18.6479,202306,29,"14,100",수유역푸르지오시티,16,-,-,2014,도봉로 290,-,중개거래,서울 강북구,23.08.07
59,서울특별시 중구 흥인동,119,119,0,동대문와이즈캐슬,16.55,202306,29,"14,200",-,10,-,-,2014,퇴계로75길 7,-,중개거래,서울 중구,23.07.20
60,서울특별시 중랑구 상봉동,106,106,0,상봉힐스테이,17.25,202306,29,"29,500",-,11,-,-,2021,봉우재로37길 17,20230709,직거래,-,-
61,서울특별시 송파구 잠실동,35,35,0,트리지움,59.88,202306,29,"167,000",302,16,-,-,2007,잠실로 62,-,중개거래,서울 송파구,23.08.10
62,서울특별시 강남구 수서동,746,746,0,까치마을,34.44,202306,29,"82,650",1004,15,-,-,1993,광평로19길 10,-,중개거래,서울 강남구,23.11.01
63,서울특별시 서대문구 연희동,745,745,0,연희자이엘라,13.642,202306,29,"14,500",-,5,-,-,2014,연희로5길 14,-,중개거래,서울 서대문구,23.07.05
64,서울특별시 송파구 가락동,913,913,0,헬리오시티,59.96,202306,29,"166,000",509,10,-,-,2018,송파대로 345,-,중개거래,서울 송파구,23.09.01
65,서울특별시 광진구 자양동,762,762,0,한라아파트,59.96,202306,29,"85,000",-,8,-,-,1996,뚝섬로35길 10,20230721,중개거래,서울 광진구,-
66,서울특별시 송파구 신천동,17,17,0,파크리오,59.86,202306,29,"175,000",315,10,-,-,2008,올림픽로 435,-,중개거래,서울 송파구,23.08.07
67,서울특별시 구로구 구로동,104-9,104,9,성호메이플라워멤버스빌,31.75,202306,29,"15,300",-,10,-,-,2002,가마산로 283,-,중개거래,서울 구로구,23.09.18
68,서울특별시 용산구 이촌동,415,415,0,한강(대우),59.98,202306,29,"152,000",101,11,-,-,2000,이촌로 181,-,중개거래,서울 용산구,23.10.06
69,서울특별시 송파구 풍납동,514,514,0,잠실올림픽공원아이파크,59.97,202306,29,"139,000",104,15,-,-,2019,올림픽로43길 34,-,중개거래,서울 송파구,23.10.05
70,서울특별시 강남구 대치동,1014-3,1014,3,대치삼성,59.88,202306,29,"162,500",111,2,-,-,2000,도곡로78길 22,-,중개거래,서울 강남구,23.09.13
71,서울특별시 노원구 월계동,780,780,0,청백3,39.84,202306,29,"33,900",303,11,-,-,1998,월계로45가길 89,-,중개거래,서울 노원구,23.07.26
72,서울특별시 광진구 자양동,762,762,0,한라아파트,59.96,202306,29,"85,000",102,8,-,-,1996,뚝섬로35길 10,-,중개거래,서울 광진구 서울 송파구,23.09.22
73,서울특별시 마포구 염리동,532,532,0,마포프레스티지자이,59.7848,202306,29,"143,000",109,9,-,-,2021,대흥로24길 24,-,중개거래,서울 마포구,23.10.20
74,서울특별시 중랑구 면목동,1529,1529,0,경남아너스빌,59.858,202306,29,"60,000",107,6,-,-,2006,답십리로75길 73,-,중개거래,서울 광진구 서울 중랑구,23.07.13
75,서울특별시 중구 신당동,842,842,0,약수하이츠,57.63,202306,29,"78,000",116,2,-,-,1999,동호로10길 30,-,중개거래,서울 중구,23.10.04
76,서울특별시 강서구 화곡동,1139,1139,0,초록,59.34,202306,29,"60,000",101,2,-,-,1998,강서로45다길 30-27,-,중개거래,서울 강서구,23.12.28
77,서울특별시 강서구 화곡동,897-2,897,2,루체비스타,29.77,202306,29,"22,400",루체비스타,7,-,-,2017,강서로10길 19,-,중개거래,서울 강서구 서울 양천구,23.07.05
78,서울특별시 관악구 봉천동,1707-1,1707,1,은천2단지아파트,49.95,202306,29,"50,250",203,2,-,-,2000,인헌12길 46-1,-,중개거래,서울 관악구,23.10.05
79,서울특별시 양천구 신정동,314,314,0,목동신시가지8,54.94,202306,29,"113,500",809,2,-,-,1987,목동서로 280,-,중개거래,서울 양천구,23.08.14
80,서울특별시 동대문구 전농동,155,155,0,전농동삼성래미안,59.93,202306,29,"69,000",104,4,-,-,2000,전농로 192,-,중개거래,서울 동대문구,23.07.07
81,서울특별시 강동구 명일동,359,359,0,래미안솔베뉴,59.11,202306,29,"120,000",112,7,-,-,2019,양재대로 1650,-,중개거래,서울 강동구,23.10.24
82,서울특별시 강남구 개포동,12,12,0,삼익대청아파트,39.53,202306,29,"111,000",301,2,-,-,1992,개포로109길 21,-,중개거래,서울 강남구,23.09.05
83,서울특별시 강남구 대치동,974,974,0,대치현대,59.82,202306,29,"163,500",105,22,-,-,1999,삼성로64길 5,-,중개거래,서울 강남구,23.09.11
84,서울특별시 강남구 대치동,1014-3,1014,3,대치삼성,59.88,202306,29,"162,500",-,2,-,-,2000,도곡로78길 22,20230911,중개거래,서울 강남구,-
85,서울특별시 노원구 중계동,512,512,0,중계무지개,39.96,202306,29,"37,800",213,1,-,-,1991,동일로208길 20,-,중개거래,서울 노원구,23.08.24
86,서울특별시 노원구 중계동,359-1,359,1,주공5,44.52,202306,29,"50,000",505,9,-,-,1992,중계로 230,-,중개거래,서울 노원구,23.08.24
87,서울특별시 서대문구 홍은동,8-26,8,26,초원,49.26,202306,29,"25,800",-,3,-,-,1988,홍은중앙로 156,-,중개거래,서울 서대문구,23.07.27
88,서울특별시 강서구 가양동,448-1,448,1,가양강나루현대,59.76,202306,29,"77,000",105,11,-,-,1999,양천로 507,-,중개거래,서울 강서구,23.08.01
89,서울특별시 강서구 가양동,1475,1475,0,강변,39.6,202306,29,"55,800",310,8,-,-,1992,허준로 139,-,중개거래,서울 강서구,23.07.28
90,서울특별시 관악구 봉천동,1717,1717,0,관악푸르지오,59.58,202306,29,"74,400",104,16,-,-,2004,관악로30길 27,-,중개거래,서울 관악구 서울 동작구,23.07.10
91,서울특별시 은평구 수색동,417,417,0,DMC롯데캐슬더퍼스트,59.96,202306,29,"89,900",111,8,-,-,2021,수색로 300,-,중개거래,서울 은평구,23.09.08
92,서울특별시 영등포구 당산동2가,16-1,16,1,당산대우,45.55,202306,29,"52,000",101,10,-,-,1999,영등포로 106,-,중개거래,서울 영등포구,23.09.14
93,서울특별시 성북구 길음동,1284,1284,0,길음뉴타운8단지(래미안),59.99,202306,29,"74,000",808,1,-,-,2010,길음로 33,-,중개거래,서울 성북구,23.08.22
94,서울특별시 은평구 녹번동,282,282,0,힐스테이트녹번,59.9,202306,29,"89,000",109동,9,-,-,2019,통일로 610,-,중개거래,서울 은평구,23.11.20
95,서울특별시 강남구 청담동,33,33,0,청담동삼성1차(101동),59.4,202306,28,"134,000",101,4,-,-,1997,삼성로133길 20,-,중개거래,서울 강남구,23.09.12
96,서울특별시 동작구 신대방동,716,716,0,현진에버빌,59.6216,202306,28,"58,000",101,1,-,-,2003,신대방1나길 45,-,중개거래,서울 강남구 서울 영등포구,23.08.03
97,서울특별시 성북구 돈암동,609-1,609,1,한진(609-1),59.58,202306,28,"53,500",202동,3,-,-,1998,성북로4길 52,-,중개거래,경기 하남시 서울 성북구,23.09.01
98,서울특별시 강동구 암사동,413,413,0,프라이어팰리스,59.983,202306,28,"97,500",107,9,-,-,2007,고덕로 130,-,중개거래,서울 강동구,23.10.10
99,서울특별시 서초구 우면동,67,67,0,한라,59.98,202306,28,"105,000",103,1,-,-,1994,바우뫼로 33,-,중개거래,서울 서초구,24.01.15
100,서울특별시 마포구 공덕동,464,464,0,래미안공덕4차,59.9,202306,28,"112,500",410,11,-,-,2005,마포대로11길 50,-,중개거래,서울 마포구,23.10.10
101,서울특별시 용산구 도원동,23,23,0,삼성래미안,59.94,202306,28,"105,000",114,12,-,-,2001,새창로 70,-,중개거래,서울 용산구,23.11.10
102,서울특별시 강동구 둔촌동,630,630,0,둔촌푸르지오,59.98,202306,28,"98,500",107,3,-,-,2010,명일로 172,-,중개거래,서울 강동구,23.10.31
103,서울특별시 양천구 신정동,329,329,0,목동신시가지14,55.02,202306,28,"107,000",1428,6,-,-,1988,목동동로 130,-,중개거래,서울 양천구,23.09.22
104,서울특별시 양천구 목동,965,965,0,목동롯데캐슬마에스트로,59.9846,202306,28,"96,500",101,3,-,-,2019,목동중앙북로8길 71,-,중개거래,서울 양천구,23.08.31
105,서울특별시 양천구 목동,926-8,926,8,목동성원(926-8),59.4,202306,28,"100,000",-,9,-,-,1997,목동서로 234,20231205,중개거래,서울 양천구,-
106,서울특별시 강동구 상일동,519,519,0,고덕아르테온,59.96,202306,28,"117,800",330,3,-,-,2020,고덕로 360,-,중개거래,서울 강동구,23.07.28
107,서울특별시 강동구 고덕동,693,693,0,고덕그라시움,59.052,202306,28,"122,000",142,12,-,-,2019,고덕로 333,-,중개거래,서울 강동구,24.01.05
108,서울특별시 강서구 염창동,302,302,0,염창2차한화꿈에그린,59.99,202306,28,"84,800",201,4,-,-,2006,공항대로63길 16,-,중개거래,서울 강서구,23.06.30
109,서울특별시 용산구 이촌동,422,422,0,북한강(성원),59.55,202306,28,"142,000",101,9,-,-,2001,이촌로2가길 66,-,중개거래,서울 용산구,23.10.13
110,서울특별시 노원구 월계동,320-11,320,11,사슴3,39.6,202306,28,"37,500",302,4,-,-,1995,월계로55길 15,-,중개거래,서울 노원구,23.08.04
111,서울특별시 강서구 가양동,1485,1485,0,가양6단지,58.65,202306,28,"79,000",611,5,-,-,1992,허준로 175,-,중개거래,서울 강서구,23.09.15
112,서울특별시 도봉구 창동,808,808,0,동아청솔,59.76,202306,28,"66,500",103,10,-,-,1997,노해로69길 103,-,중개거래,서울 도봉구,23.09.21
113,서울특별시 도봉구 창동,808,808,0,동아청솔,59.76,202306,28,"66,500",-,10,-,-,1997,노해로69길 103,20230720,중개거래,서울 도봉구,-
114,서울특별시 도봉구 쌍문동,56,56,0,삼익세라믹,42.93,202306,28,"33,000",104,9,-,-,1988,해등로 195,-,중개거래,서울 도봉구,23.09.26
115,서울특별시 송파구 가락동,95-1,95,1,가락금호아파트,59.91,202306,28,"113,000",102,20,-,-,1997,송파대로32길 15,-,중개거래,경기 용인수지구 서울 송파구,23.11.02
116,서울특별시 송파구 풍납동,508,508,0,한강극동,59.26,202306,28,"89,800",108,7,-,-,1995,토성로 38-6,-,중개거래,서울 송파구,23.09.15
117,서울특별시 광진구 자양동,761,761,0,자양2현대,59.95,202306,28,"84,000",-,1,-,-,1995,뚝섬로34길 9,-,중개거래,서울 광진구 서울 송파구,23.08.10
118,서울특별시 강남구 일원동,711,711,0,수서,39.98,202306,28,"89,500",121,13,-,-,1992,양재대로55길 12,-,중개거래,서울 강남구,23.10.24
119,서울특별시 강남구 청담동,134-38,134,38,청담자이,49.618,202306,28,"177,000",101,9,-,-,2011,영동대로138길 12,-,중개거래,서울 강남구,23.08.07
120,서울특별시 동작구 대방동,501,501,0,대림아파트,59.84,202306,28,"84,500",112,1,-,-,1993,여의대방로44길 10,-,중개거래,서울 동작구,23.09.07
121,서울특별시 강남구 개포동,12,12,0,삼익대청아파트,60.0,202306,28,"103,000",305,11,-,-,1992,개포로109길 21,-,중개거래,서울 강남구,23.07.07
122,서울특별시 중구 신당동,843,843,0,삼성,59.97,202306,28,"94,000",103,15,-,-,1999,청구로1길 23,-,중개거래,서울 중구,23.10.11
123,서울특별시 노원구 상계동,691,691,0,상계주공7(고층),45.55,202306,28,"51,000",704,14,-,-,1988,동일로 1456,-,중개거래,서울 노원구,24.04.30
124,서울특별시 동대문구 답십리동,645-8,645,8,신답경남,59.24,202306,28,"57,000",-,11,-,-,1991,천호대로47길 62,-,중개거래,서울 동대문구,23.10.31
125,서울특별시 성북구 장위동,322-22,322,22,장위지웰에스테이트,39.975,202306,28,"40,000",101,3,-,-,2022,한천로 660-16,-,중개거래,서울 성북구,23.08.18
126,서울특별시 성북구 장위동,323,323,0,꿈의숲아이파크,59.1,202306,28,"90,300",713,11,-,-,2022,돌곶이로40길 46,-,중개거래,서울 성북구,23.09.25
127,서울특별시 성북구 장위동,323,323,0,꿈의숲아이파크,59.1,202306,28,"89,000",714,12,-,-,2022,돌곶이로40길 46,-,중개거래,서울 성북구,23.12.22
128,서울특별시 서초구 서초동,1533,1533,0,서초한신리빙타워,42.55,202306,28,"66,000",-,7,-,-,1999,효령로 237,-,중개거래,서울 서초구,23.07.19
129,서울특별시 영등포구 양평동3가,106,106,0,양평역미소지움,59.343,202306,28,"74,321",101동,9,-,-,2018,양산로 11,-,직거래,-,23.07.26
130,서울특별시 서초구 반포동,70-1,70,1,한신서래,45.72,202306,28,"118,000",4,4,-,-,1987,사평대로28길 31,-,중개거래,서울 서초구,23.10.20
131,서울특별시 서초구 반포동,70-1,70,1,한신서래,45.72,202306,28,"118,000",-,4,-,-,1987,사평대로28길 31,20231020,중개거래,서울 서초구,-
132,서울특별시 성북구 하월곡동,225,225,0,래미안월곡,59.754,202306,28,"70,000",121,14,-,-,2006,오패산로 90,-,중개거래,서울 성북구,23.11.28
133,서울특별시 서초구 잠원동,63-2,63,2,신반포청구,59.91,202306,28,"188,000",102,17,-,-,1998,신반포로33길 66,-,중개거래,서울 강남구 서울 서초구,23.10.18
134,서울특별시 은평구 응암동,761,761,0,백련산힐스테이트3차,59.63,202306,28,"71,000",310,8,-,-,2011,백련산로 36,-,중개거래,서울 은평구,23.10.10
135,서울특별시 성북구 길음동,1279,1279,0,길음뉴타운1단지(래미안길음1차),59.99,202306,28,"70,000",112,1,-,-,2003,길음로9길 40,-,중개거래,서울 성북구,23.10.13
136,서울특별시 영등포구 대림동,1127,1127,0,e편한세상영등포아델포레,59.968,202306,28,"94,000",102,16,-,-,2020,신길로 29,-,중개거래,서울 영등포구,23.09.08
137,서울특별시 동작구 노량진동,325,325,0,신동아리버파크,59.67,202306,28,"78,000",706,19,-,-,2001,만양로 19,-,중개거래,서울 동작구,23.08.21
138,서울특별시 강북구 미아동,1372,1372,0,포르투나,50.56,202306,27,"43,900",-,4,-,-,2022,인수봉로20나길 30,-,직거래,-,23.07.25
139,서울특별시 강북구 미아동,1372,1372,0,포르투나,23.34,202306,27,"21,150",-,3,-,-,2022,인수봉로20나길 30,-,직거래,-,23.07.25
140,서울특별시 강북구 미아동,1372,1372,0,포르투나,23.34,202306,27,"21,350",-,5,-,-,2022,인수봉로20나길 30,-,직거래,-,23.07.25
141,서울특별시 강북구 미아동,1372,1372,0,포르투나,23.34,202306,27,"21,350",-,4,-,-,2022,인수봉로20나길 30,-,직거래,-,23.07.25
142,서울특별시 강북구 미아동,1372,1372,0,포르투나,44.81,202306,27,"38,100",-,5,-,-,2022,인수봉로20나길 30,-,직거래,-,23.07.25
143,서울특별시 강북구 미아동,1372,1372,0,포르투나,51.45,202306,27,"43,750",-,5,-,-,2022,인수봉로20나길 30,-,직거래,-,23.07.25
144,서울특별시 강북구 미아동,1372,1372,0,포르투나,49.55,202306,27,"39,600",-,1,-,-,2022,인수봉로20나길 30,-,직거래,-,23.07.25
145,서울특별시 송파구 잠실동,44,44,0,레이크팰리스,59.97,202306,27,"172,000",106,27,-,-,2006,잠실로 88,-,중개거래,서울 송파구,23.09.19
146,서울특별시 강북구 미아동,1372,1372,0,포르투나,51.45,202306,27,"43,750",-,4,-,-,2022,인수봉로20나길 30,-,직거래,-,23.07.25
147,서울특별시 강북구 미아동,1372,1372,0,포르투나,49.55,202306,27,"41,200",-,5,-,-,2022,인수봉로20나길 30,-,직거래,-,23.07.25
148,서울특별시 강북구 미아동,1372,1372,0,포르투나,49.55,202306,27,"41,700",-,6,-,-,2022,인수봉로20나길 30,-,직거래,-,23.07.25
149,서울특별시 강북구 미아동,1372,1372,0,포르투나,23.34,202306,27,"21,150",-,2,-,-,2022,인수봉로20나길 30,-,직거래,-,23.07.25
150,서울특별시 광진구 광장동,484,484,0,현대3,59.67,202306,27,"93,000",306,21,-,-,1990,아차산로70길 62,-,중개거래,서울 광진구,23.10.31
151,서울특별시 강북구 미아동,1372,1372,0,포르투나,23.34,202306,27,"21,150",-,3,-,-,2022,인수봉로20나길 30,-,직거래,-,23.07.25
152,서울특별시 강북구 미아동,1372,1372,0,포르투나,55.49,202306,27,"43,550",-,1,-,-,2022,인수봉로20나길 30,-,직거래,-,23.07.25
153,서울특별시 송파구 장지동,843,843,0,송파파인타운9단지,59.95,202306,27,"100,000",907,11,-,-,2007,송파대로8길 17,-,중개거래,서울 송파구,23.08.25
154,서울특별시 강북구 미아동,1372,1372,0,포르투나,23.34,202306,27,"21,150",-,3,-,-,2022,인수봉로20나길 30,-,직거래,-,23.07.25
155,서울특별시 마포구 아현동,802,802,0,마포센트럴 아이파크,59.9718,202306,27,"119,700",105,11,-,-,2017,마포대로 246,-,중개거래,서울 마포구,23.12.27
156,서울특별시 강북구 미아동,1372,1372,0,포르투나,55.49,202306,27,"44,350",-,2,-,-,2022,인수봉로20나길 30,-,직거래,-,23.07.25
157,서울특별시 광진구 자양동,644,644,0,로얄동아,59.91,202306,27,"93,000",제104,14,-,-,1999,뚝섬로52마길 56,-,중개거래,서울 강남구 서울 광진구,23.08.29
158,서울특별시 강동구 암사동,413,413,0,프라이어팰리스,59.983,202306,27,"89,000",101,1,-,-,2007,고덕로 130,-,중개거래,경기 남양주시 서울 강동구,23.09.25
159,서울특별시 송파구 오금동,165,165,0,상아2차아파트,45.77,202306,27,"72,800",9,3,-,-,1988,오금로 407,-,중개거래,서울 송파구,23.11.15
160,서울특별시 구로구 개봉동,476,476,0,한마을,59.57,202306,27,"64,500",115,16,-,-,1999,경인로 382,-,중개거래,서울 구로구,23.10.05
161,서울특별시 강남구 수서동,746,746,0,까치마을,34.44,202306,27,"88,700",1005,4,-,-,1993,광평로19길 10,-,중개거래,서울 강남구,23.09.25
162,서울특별시 구로구 구로동,797-22,797,22,(797-22),42.48,202306,27,"22,000",-,2,-,-,1995,디지털로27라길 6-17,-,중개거래,서울 구로구,23.07.05
163,서울특별시 강북구 미아동,1372,1372,0,포르투나,49.55,202306,27,"40,750",-,3,-,-,2022,인수봉로20나길 30,-,직거래,-,23.07.25
164,서울특별시 강북구 미아동,1372,1372,0,포르투나,50.56,202306,27,"42,750",-,1,-,-,2022,인수봉로20나길 30,-,직거래,-,23.07.25
